alpha cd
-15.75 0.07584
-15.5 0.04928
-15.25 0.03278
-15.0 0.02868
-14.75 0.02645
-14.5 0.02483
-14.25 0.02361
-14.0 0.02231
-13.75 0.02119
-13.5 0.02023
-13.25 0.0194
-13.0 0.01866
-12.75 0.01799
-12.5 0.01738
-12.25 0.01682
-12.0 0.0163
-11.75 0.01583
-11.5 0.01541
-11.25 0.01497
-11.0 0.01439
-10.75 0.01397
-10.5 0.0136
-10.25 0.01328
-10.0 0.01301
-9.75 0.01265
-9.5 0.01233
-9.25 0.01207
-9.0 0.01184
-8.75 0.01155
-8.5 0.01134
-8.25 0.01111
-8.0 0.01091
-7.75 0.01071
-7.5 0.01055
-7.25 0.01036
-7.0 0.01024
-6.75 0.01007
-6.5 0.00996
-6.25 0.00983
-6.0 0.00973
-5.75 0.00962
-5.5 0.00954
-5.25 0.00943
-5.0 0.00937
-4.75 0.00928
-4.5 0.00923
-4.25 0.00917
-4.0 0.00915
-3.75 0.00913
-3.5 0.00912
-3.25 0.00911
-3.0 0.00911
-2.75 0.00911
-2.5 0.00911
-2.25 0.00912
-2.0 0.00913
-1.75 0.00914
-1.5 0.00916
-1.25 0.00918
-1.0 0.00921
-0.75 0.00923
-0.5 0.00926
-0.25 0.0093
0.0 0.00933
0.25 0.00937
0.5 0.00942
0.75 0.00946
1.0 0.00951
1.25 0.00956
1.5 0.00961
1.75 0.00967
2.0 0.00973
2.25 0.0098
2.5 0.00986
2.75 0.00993
3.0 0.01
3.25 0.01008
3.5 0.01016
3.75 0.01024
4.0 0.01032
4.25 0.01041
4.5 0.0105
4.75 0.01059
5.0 0.01067
5.25 0.01075
5.5 0.01084
5.75 0.01095
6.0 0.01107
6.25 0.0112
6.5 0.01133
6.75 0.01148
7.0 0.01162
7.25 0.01178
7.5 0.01194
7.75 0.01211
8.0 0.01228
8.25 0.01246
8.5 0.01265
8.75 0.01284
9.0 0.01305
9.5 0.0137
9.75 0.01409
10.0 0.01441
10.25 0.0148
10.5 0.01519
10.75 0.01559
11.0 0.01608
11.25 0.01652
11.5 0.01702
11.75 0.01761
12.0 0.01816
12.25 0.0188
12.5 0.01951
12.75 0.02017
13.0 0.02092
13.25 0.02177
13.5 0.0227
13.75 0.02357
14.0 0.02453
14.25 0.02558
14.5 0.02674
14.75 0.02803
15.0 0.02938
15.25 0.03068
15.5 0.0321
15.75 0.03362
