Carbon_fibre,Glass_fibre,lf,Vc,SmAvg,G,GiicmAvg,Initial_stiffness,Ultimate_strain,Pseudo_ductile_strain,Ultimate_strength,Yield_strength
XN-90,GF,10533.48204,0.966017235,82.35422907,1056.370868,0.734474085,456482.1982,0.24,0.050521111,864.9373969,864.9373969
XN-90,XN-05,7808.946657,0.996471605,60.84880397,1741.249859,0.849103415,466897.1657,0.24,0.040624437,930.8788532,930.8788532
XN-90,GF,9323.678328,0.242947612,53.26938033,1523.664676,0.671576175,169973.9748,0.18,0.033303305,249.3462029,249.3462029
P120J,GF,5788.757208,0.453632201,79.63591206,1662.767083,0.776172789,240985.5142,0.26,0.06988938,458.1390551,458.1390551
XN-90,XN-05,11435.54728,0.837471829,61.73659329,1340.566744,0.658033698,389829.4153,0.22,0.042216283,693.053223,693.053223
XN-90,XN-05,1355.239336,0.983682462,91.08764944,1199.823893,0.718818889,393095.4082,0.26,0.024094901,927.3321113,927.3321113
XN-90,XN-05,10333.731,0.99576216,41.16286302,1786.201944,0.744081776,469413.4182,0.24,0.050831167,887.9838858,887.9838858
XN-90,XN-05,9634.718437,0.97483937,63.52680274,1217.840977,0.643122063,455964.8376,0.24,0.050155106,865.6259617,865.6259617
XN-90,FliteStrand_S_ZT,5172.677295,0.997599718,49.52689725,1459.983648,0.932961092,460094.5712,0.28,0.065025846,989.084412,989.084412
XN-90,GF,10116.10731,0.946479898,72.28164716,1386.569279,0.61437693,449617.5526,0.24,0.051076426,849.4335497,849.4335497
XN-90,GF,3177.67608,0.759317145,50.22680564,1525.315964,0.916207432,359540.4609,0.32,0.094925864,809.2325842,809.2325842
P120J,GF,1708.694061,0.609459692,63.29508971,1120.759617,0.640481122,261914.757,0.38,0.107950426,712.5379817,712.5379817
XN-90,GF,9420.477704,0.997738182,40.51530596,1617.612889,0.664764126,469668.5531,0.24,0.048327789,900.224102,900.224102
XN-90,FliteStrand_S_ZT,11285.61255,0.751973883,69.30288387,1738.605954,0.809697352,360520.0273,0.22,0.04258142,639.6295133,639.6295133
XN-90,GF,10860.61386,0.997317219,43.62693961,1671.191985,0.810510813,470636.2031,0.24,0.05190979,885.2206232,885.2206232
XN-90,XN-05,7433.053062,0.922655343,46.30408851,1565.575434,0.79488819,430288.0702,0.26,0.061751952,853.0377,853.0377
XN-90,GF,10681.16591,0.993862488,83.10745446,1637.544054,0.606657236,469517.7613,0.24,0.050582853,889.3471478,889.3471478
XN-90,GF,10553.93089,0.941093243,46.88911891,1332.614147,0.845081779,448118.8705,0.24,0.051629129,844.1254213,844.1254213
XN-90,XN-05,644.7370875,0.994354986,53.21739713,1189.508069,0.637407648,323833.4936,0.44,0.187541565,817.5449709,759.4358202
XN-90,FliteStrand_S_ZT,5810.541795,0.685604362,65.18251559,1267.791498,0.672416944,321254.4339,0.26,0.056982887,652.2014764,652.2014764
XN-90,FliteStrand_S_ZT,8595.999159,0.991376184,99.89779999,1572.609127,0.913525577,465128.5495,0.24,0.041712684,922.2909168,922.2909168
XN-90,XN-05,11670.56566,0.981368962,84.18428393,1441.316795,0.785270931,461312.9373,0.24,0.054019118,857.9538694,857.9538694
XN-90,GF,9701.559229,0.989678254,94.29905088,1218.944267,0.959842293,464811.7042,0.24,0.045963682,901.903516,901.903516
XN-90,XN-05,10140.50106,0.998233166,94.61017301,1249.449278,0.846233081,469137.838,0.24,0.047718965,902.0630904,902.0630904
P120J,XN-05,7261.040135,0.259065299,56.29008647,1465.644661,0.75157483,125828.2199,1.84,1.625814792,269.5054342,249.2110349
XN-90,GF,2843.732857,0.975222846,92.4995473,1132.181517,0.627071143,431557.336,0.24,0.020376807,947.7999989,947.7999989
XN-90,GF,11028.38193,0.968394387,93.77692081,1091.347754,0.783937879,458720.3676,0.24,0.051509329,864.6451009,864.6451009
P120J,GF,4527.574698,0.580193564,87.85322719,1379.592061,0.736148488,282267.5444,0.28,0.067175977,600.7331427,600.7331427
XN-90,XN-05,11515.19469,0.975344981,46.62884421,1726.248897,0.628688661,458158.7464,0.24,0.056722665,839.7011391,839.7011391
XN-90,XN-05,5421.537313,0.997976211,44.44157113,1387.747972,0.817537772,460382.6606,0.28,0.066990366,980.6594198,980.6594198
XN-90,FliteStrand_S_ZT,5454.765588,0.988668721,90.02010467,1505.147676,0.831104657,457180.6426,0.26,0.045049161,982.7136264,982.7136264
XN-90,GF,4403.291586,0.993725501,82.91682821,1594.683425,0.777882298,456491.6887,0.28,0.054705013,1028.452891,1028.452891
XN-90,GF,7422.134327,0.993403727,89.26309828,1791.744604,0.704138572,465997.6598,0.26,0.057191301,945.0837921,945.0837921
XN-90,GF,11095.31695,0.984856209,78.98472384,1678.624136,0.924298266,466437.1364,0.24,0.052659325,873.8264794,873.8264794
P120J,GF,3948.82561,0.630899189,81.39615735,1314.063245,0.608856426,297884.1023,0.3,0.075966015,667.3616252,667.3616252
XN-90,GF,10125.27651,0.980617702,61.41166833,1682.42183,0.69585103,463223.1025,0.24,0.050223466,879.088748,879.088748
XN-90,XN-05,826.4393201,0.989037631,63.52330663,1401.496552,0.864499029,358932.3369,0.38,0.112487086,960.1903523,960.1903523
XN-90,GF,9366.592872,0.00030307,59.68736354,1629.472229,0.848200315,25170.52978,1.2,0.072272041,283.8551017,283.8551017
XN-90,XN-05,6925.882311,0.988888758,41.87057144,1657.912867,0.852848646,461110.3977,0.26,0.055377395,943.5361097,943.5361097
XN-90,XN-05,11940.75594,0.996648152,56.07127965,1666.755796,0.929174902,469767.6704,0.22,0.03731824,858.1798482,858.1798482
XN-90,GF,3467.950509,0.847136914,90.39611814,1083.66519,0.985991304,390899.1933,0.28,0.047858797,907.4380884,907.4380884
XN-90,XN-05,4882.284989,0.997852698,78.14219462,1725.21436,0.661550791,460188.8321,0.28,0.061349889,1006.203391,1006.203391
XN-90,GF,4765.446852,0.130088939,55.34819799,1105.516928,0.846009333,107834.5586,1.06,0.853336498,222.8546749,169.0335365
XN-90,XN-05,11302.99094,0.961494258,55.15081902,1040.229383,0.650069342,450986.9761,0.24,0.056322404,828.3620352,828.3620352
XN-90,GF,8874.904625,0.853014851,58.72943361,1716.52458,0.75399413,414829.6524,0.24,0.051300708,782.7806151,782.7806151
XN-90,GF,3615.748733,0.61176969,49.42135463,1165.001606,0.700285578,304198.3312,0.28,0.066670229,648.9456045,648.9456045
P120J,GF,6882.790434,0.454427551,57.51806854,1627.322357,0.653845726,242178.5253,0.24,0.058993865,438.3579873,438.3579873
XN-90,XN-05,7480.250517,0.951522162,59.02076642,1070.687047,0.964716407,440978.2328,0.26,0.058741557,887.5059257,887.5059257
XN-90,GF,10143.2695,0.953606436,50.35807295,1093.477042,0.810074288,451290.6015,0.24,0.050747365,854.0793543,854.0793543
XN-90,XN-05,3596.611938,0.92282839,85.73842688,1001.908704,0.817564974,409359.8406,0.28,0.048884737,946.0930725,946.0930725
XN-90,XN-05,9803.019827,0.971733019,74.30685079,1259.528649,0.826496163,455608.9174,0.24,0.048770724,871.2576355,871.2576355
XN-90,XN-05,1999.777117,0.836426341,62.79720657,1728.883326,0.914407539,355643.4181,0.34,0.09393477,875.1147945,875.1147945
XN-90,FliteStrand_S_ZT,6871.221612,0.988179058,51.06642419,1040.778826,0.862203338,456708.3426,0.26,0.05396691,940.9703091,940.9703091
XN-90,XN-05,7284.17762,0.997751009,62.13452165,1640.87413,0.671128189,465901.2185,0.26,0.059444625,934.3899345,934.3899345
XN-90,GF,11818.37035,0.917128711,99.54617656,1364.784532,0.720437234,440156.9025,0.22,0.037162787,804.7706118,804.7706118
P120J,C124,693.7000052,0.44655641,77.67521788,1338.900413,0.738909754,192308.5448,0.86,0.383511146,916.3287809,674.3591399
XN-90,XN-05,3887.723453,0.977164565,64.29808969,1081.892929,0.927252605,439370.4721,0.3,0.069775462,1011.538641,1011.538641
XN-90,FliteStrand_S_ZT,9558.147935,0.60036426,49.43699946,1466.731142,0.71922833,292534.5504,0.24,0.058763986,530.177958,530.177958
XN-90,XN-05,7888.902372,0.996256079,58.91942018,1686.603196,0.804589086,466882.8485,0.26,0.059671553,935.2991587,935.2991587
XN-90,XN-05,4529.304764,0.981096244,53.27277819,1109.55257,0.618349795,445318.9488,0.28,0.060923106,975.5909198,975.5909198
P120J,GF,11998.64837,0.876843175,66.38821898,1662.327632,0.9180797,399179.244,0.24,0.060956683,714.7037598,714.7037598
P120J,C124,11850.07377,0.06210981,52.37738882,1539.409666,0.64520983,140126.9013,1.46,0.31694107,1601.733058,806.8132742
XN-90,XN-05,6385.664574,0.922903406,78.43113419,1561.154368,0.763533862,427755.2379,0.26,0.054765282,877.9022542,877.9022542
XN-90,GF,11830.49839,0.105571271,69.09343749,1131.4189,0.728194589,100714.1046,1.04,0.821399598,220.161437,114.276625
XN-90,XN-05,4847.130374,0.979290664,91.93287689,1473.066349,0.714176233,449898.4186,0.28,0.060699934,986.6275309,986.6275309
P120J,GF,7234.815586,0.62396752,54.8003131,1774.230315,0.670346237,305382.0365,0.26,0.071565133,575.4462331,575.4462331
XN-90,GF,771.3979569,0.964039747,44.69982671,1395.528432,0.971353524,344981.4708,0.46,0.225188594,810.0558406,736.801927
XN-90,GF,5269.683416,0.808957854,76.60962732,1265.968016,0.796968191,388621.3528,0.26,0.049572673,817.7655251,817.7655251
